YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,MICROSECOND,body_centroid_x,body_centroid_y,tail_centroid_x,tail_centroid_y,head_centroid_x,head_centroid_y,body_contour_area,error,execution_time,frame_width,frame_height
2020,12,31,18,9,56,21396,339,76,318,64,362,80,0.0032654101375119925,False,0.008531808853149414,424,472
2020,12,31,18,9,56,30239,352,78,332,68,371,92,0.0031779661016949155,False,0.008818864822387695,424,472
2020,12,31,18,9,56,38811,358,82,339,74,379,92,0.0031279980812280142,False,0.008539199829101562,424,472
2020,12,31,18,9,56,47741,363,86,347,82,384,92,0.0030280620402942117,False,0.008856534957885742,424,472
2020,12,31,18,9,56,56473,368,88,352,75,386,103,0.0030955188679245285,False,0.008702993392944336,424,472
2020,12,31,18,9,56,65882,374,91,357,78,387,112,0.003135493284298049,False,0.009380817413330078,424,472
2020,12,31,18,9,56,80460,378,99,363,85,388,123,0.0032679085385353373,False,0.014549970626831055,424,472
2020,12,31,18,9,56,89830,381,108,371,89,389,134,0.0031279980812280142,False,0.009343624114990234,424,472
2020,12,31,18,9,56,98735,384,117,375,99,390,145,0.003422809401982731,False,0.008871793746948242,424,472
2020,12,31,18,9,56,107933,386,127,0,0,390,154,0.0031829629037416055,False,0.0091705322265625,424,472
2020,12,31,18,9,56,116820,386,137,382,116,389,164,0.0033503557723057243,False,0.008857250213623047,424,472
2020,12,31,18,9,56,125981,385,146,0,0,392,172,0.0030455508474576272,False,0.009133577346801758,424,472
2020,12,31,18,9,56,134838,387,154,383,133,391,180,0.0035402342500799487,False,0.008825302124023438,424,472
2020,12,31,18,9,56,143783,386,161,385,139,389,189,0.003292892548768788,False,0.008924245834350586,424,472
2020,12,31,18,9,56,152312,386,170,383,148,387,198,0.003470279021426287,False,0.00849461555480957,424,472
2020,12,31,18,9,56,160814,383,178,384,155,384,205,0.003260413335465302,False,0.008478164672851562,424,472
2020,12,31,18,9,56,168784,384,186,386,163,385,211,0.0033228733610489287,False,0.007937431335449219,424,472
2020,12,31,18,9,56,176831,385,195,385,174,385,220,0.003130496482251359,False,0.008025407791137695,424,472
2020,12,31,18,9,56,184372,382,254,384,231,382,282,0.0033228733610489287,False,0.007508516311645508,424,472
2020,12,31,18,9,56,192236,382,268,381,249,381,295,0.0030705348576910776,False,0.007843971252441406,424,472
2020,12,31,18,9,56,199568,381,283,0,0,381,310,0.003887511992324912,False,0.007302522659301758,424,472
2020,12,31,18,9,56,207120,380,294,0,0,382,319,0.0037401063319475536,False,0.007530689239501953,424,472
2020,12,31,18,9,56,212895,None,None,None,None,None,None,None,True,0.00574946403503418,424,472
